id,created,updated,brand,target_product,niche,region,channel_name,youtube_channel_url,subscriber_count,subscriber_count_note,last_upload_date,last_upload_video_url,last_upload_video_title,other_platforms,social_links,youtube,instagram,tiktok,facebook,x,linkedin,contact_email,contact_method_suggested,comment_video_url,comment_text,dm_opener,status,priority,lead_quality,next_step,next_followup_date,notes
clint-larson,2026-02-02,2026-02-02,Clint (Clint's Reptiles),,Creator,,Clint (Clint's Reptiles),https://www.youtube.com/@ClintsReptiles,,TODO: enrich,,,,,,https://www.youtube.com/@ClintsReptiles,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,High,,Find best contact route + propose collab angle,,Collab/meet in Springville UT as part of road trip; explore kid-friendly visit/event | Find best contact route + propose collab angle
bambu-lab-support,2026-02-02,2026-02-02,Bambu Lab Support,,Brand/Company,,Bambu Lab Support,https://www.youtube.com/@BambuLabSupport,,TODO: enrich,,,,,,https://www.youtube.com/@BambuLabSupport,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,High,,Confirm Bambu Lab US HQ/location + best contact route,,Possible HQ/partner visit; 3D printing + maker overlap | Confirm Bambu Lab US HQ/location + best contact route
powerfuljre,2026-02-02,2026-02-02,PowerfulJRE (Joe Rogan Experience),,Creator/Comedy,,PowerfulJRE (Joe Rogan Experience),https://www.youtube.com/@joerogan,,TODO: enrich,,,,,,https://www.youtube.com/@joerogan,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Medium,,List realistic ways to meet (show/event/contacts),,Meet in Austin during Mothership stop (opportunistic) | List realistic ways to meet (show/event/contacts)
conservative-vibes,2026-02-02,2026-02-02,Conservative Vibes,,Creator,,Conservative Vibes,https://www.youtube.com/@conservativevibes,,TODO: enrich,,,,,,https://www.youtube.com/@conservativevibes,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research home base + contact route,,Optional meet/collab if route aligns | Research home base + contact route
whistlindiesel,2026-02-02,2026-02-02,WhistlinDiesel,,Creator,,WhistlinDiesel,https://www.youtube.com/@whistlindiesel,,TODO: enrich,,,,,,https://www.youtube.com/@whistlindiesel,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research home base + contact route,,Optional meet/collab; vehicle/creator overlap | Research home base + contact route
bigtime,2026-02-02,2026-02-02,BigTime,,Creator,,BigTime,https://www.youtube.com/@bigtimebigtimebigtime,,TODO: enrich,,,,,,https://www.youtube.com/@bigtimebigtimebigtime,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research home base + contact route,,Optional meet/collab; cars/motorcycles overlap | Research home base + contact route
linus-tech-tips,2026-02-02,2026-02-02,Linus Tech Tips,,Creator,,Linus Tech Tips,https://www.youtube.com/@LinusTechTips,,TODO: enrich,,,,,,https://www.youtube.com/@LinusTechTips,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research tour/events + contact route,,Optional meet/collab; tech/tools overlap | Research tour/events + contact route
wickens-wicked-reptiles,2026-02-02,2026-02-02,Wickens Wicked Reptiles,,Creator,,Wickens Wicked Reptiles,https://www.youtube.com/@WickensWickedReptiles,,TODO: enrich,,,,,,https://www.youtube.com/@WickensWickedReptiles,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Medium,,Research location + contact route,,Reptile collab possibility on Midwest/Northeast pass | Research location + contact route
brandon-herrera,2026-02-02,2026-02-02,Brandon Herrera,,Creator,,Brandon Herrera,https://www.youtube.com/@BrandonHerrera,,TODO: enrich,,,,,,https://www.youtube.com/@BrandonHerrera,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Medium,,Research location + contact route,,Austin-area collab possibility (if convenient) | Research location + contact route
quartering,2026-02-02,2026-02-02,TheQuartering,,Creator,,TheQuartering,https://www.youtube.com/@TheQuartering,,TODO: enrich,,,,,,https://www.youtube.com/@TheQuartering,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Optional meet/collab if convenient | Research location + contact route
atozy,2026-02-02,2026-02-02,Atozy,,Creator,,Atozy,https://www.youtube.com/@atozy,,TODO: enrich,,,,,,https://www.youtube.com/@atozy,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Optional meet/collab if convenient | Research location + contact route
chris-hardwick-reptiles,2026-02-02,2026-02-02,Chris Hardwick Reptiles,,Creator,,Chris Hardwick Reptiles,https://www.youtube.com/@ChrisHardwickReptiles,,TODO: enrich,,,,,,https://www.youtube.com/@ChrisHardwickReptiles,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Medium,,Research location + contact route,,Reptile collab potential | Research location + contact route
vinwiki,2026-02-02,2026-02-02,VINwiki,,Brand/Creator,,VINwiki,https://www.youtube.com/@VINwiki,,TODO: enrich,,,,,,https://www.youtube.com/@VINwiki,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research HQ/location + contact route,,Car stories overlap (campfire stories angle) | Research HQ/location + contact route
fat-electrician,2026-02-02,2026-02-02,The Fat Electrician,,Creator,,The Fat Electrician,https://www.youtube.com/@the_fat_electrician,,TODO: enrich,,,,,,https://www.youtube.com/@the_fat_electrician,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research tour/events + contact route,,Optional meet/collab (storytelling angle) | Research tour/events + contact route
networkchuck,2026-02-02,2026-02-02,NetworkChuck,,Creator,,NetworkChuck,https://www.youtube.com/@NetworkChuck,,TODO: enrich,,,,,,https://www.youtube.com/@NetworkChuck,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Tech/tools overlap; optional meet/collab | Research location + contact route
lawrence-systems,2026-02-02,2026-02-02,Lawrence Systems,,Creator/Business,,Lawrence Systems,https://www.youtube.com/@LAWRENCESYSTEMS,,TODO: enrich,,,,,,https://www.youtube.com/@LAWRENCESYSTEMS,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Medium,,Coordinate with MI timing; propose QRLife demo + creator story,,"Michigan tie-in (they list Wyandotte, MI address); potential meet during MI leg | Coordinate with MI timing; propose QRLife demo + creator story"
modern-rogue,2026-02-02,2026-02-02,The Modern Rogue,,Creator,,The Modern Rogue,https://www.youtube.com/@ModernRogue,,TODO: enrich,,,,,,https://www.youtube.com/@ModernRogue,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Medium,,Research Austin timing + contact route,,Austin tie-in (Brian Brushwood); meet during Austin stop if feasible | Research Austin timing + contact route
aquarium-coop,2026-02-02,2026-02-02,Aquarium Co-Op,,Brand/Creator,,Aquarium Co-Op,https://www.youtube.com/@AquariumCoop,,TODO: enrich,,,,,,https://www.youtube.com/@AquariumCoop,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Medium,,Research HQ/location + event calendar,,Fish expo tie-in; possible store/HQ visit | Research HQ/location + event calendar
knox-hill,2026-02-02,2026-02-02,Knox Hill,,Creator,,Knox Hill,https://www.youtube.com/@KnoxHill,,TODO: enrich,,,,,,https://www.youtube.com/@KnoxHill,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Music creator meet/collab if route aligns | Research location + contact route
retro-rick,2026-02-02,2026-02-02,Retro Rick,,Creator,,Retro Rick,https://www.youtube.com/@retrorick,,TODO: enrich,,,,,,https://www.youtube.com/@retrorick,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Creator meet/collab if route aligns | Research location + contact route
dax,2026-02-02,2026-02-02,Dax,,Creator,,Dax,https://www.youtube.com/@Thatsdax,,TODO: enrich,,,,,,https://www.youtube.com/@Thatsdax,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research tour schedule + contact route,,Music meet/collab if route aligns | Research tour schedule + contact route
rob-landes,2026-02-02,2026-02-02,Rob Landes,,Creator,,Rob Landes,https://www.youtube.com/@RobLandes,,TODO: enrich,,,,,,https://www.youtube.com/@RobLandes,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Music meet/collab if route aligns | Research location + contact route
egard-watches,2026-02-02,2026-02-02,Egard Watches,,Brand,,Egard Watches,https://www.youtube.com/@EgardWatches,,TODO: enrich,,,,,,https://www.youtube.com/@EgardWatches,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research HQ/location + contact route,,Sponsor/brand meet possibility | Research HQ/location + contact route
tom-macdonald,2026-02-02,2026-02-02,Tom MacDonald,,Creator,,Tom MacDonald,https://www.youtube.com/@TomMacDonaldOfficial,,TODO: enrich,,,,,,https://www.youtube.com/@TomMacDonaldOfficial,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research tour schedule + contact route,,Music meet/collab if route aligns | Research tour schedule + contact route
king-of-diy,2026-02-02,2026-02-02,The king of DIY,,Creator,,The king of DIY,https://www.youtube.com/@thekingofdiy,,TODO: enrich,,,,,,https://www.youtube.com/@thekingofdiy,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Fish/aquarium tie-in | Research location + contact route
element14-presents,2026-02-02,2026-02-02,element14 presents,,Brand/Creator,,element14 presents,https://www.youtube.com/@element14presents,,TODO: enrich,,,,,,https://www.youtube.com/@element14presents,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research HQ/events + contact route,,Maker/tech tie-in | Research HQ/events + contact route
jayztwocents,2026-02-02,2026-02-02,JayzTwoCents,,Creator,,JayzTwoCents,https://www.youtube.com/@Jayztwocents,,TODO: enrich,,,,,,https://www.youtube.com/@Jayztwocents,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Tech/tools tie-in | Research location + contact route
rabid-mining,2026-02-02,2026-02-02,Rabid Mining,,Creator,,Rabid Mining,https://www.youtube.com/@RabidMining,,TODO: enrich,,,,,,https://www.youtube.com/@RabidMining,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Tech/tools tie-in | Research location + contact route
rv-training-academy,2026-02-02,2026-02-02,National RV Training Academy,,Brand/Creator,,National RV Training Academy,https://www.youtube.com/@NationalRVTrainingAcademy,,TODO: enrich,,,,,,https://www.youtube.com/@NationalRVTrainingAcademy,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Medium,,Research location + event calendar,,RV industry tie-in; possible visit | Research location + event calendar
raid-owl,2026-02-02,2026-02-02,Raid Owl,,Creator,,Raid Owl,https://www.youtube.com/@RaidOwl,,TODO: enrich,,,,,,https://www.youtube.com/@RaidOwl,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Tech/homelab tie-in | Research location + contact route
colion-noir,2026-02-02,2026-02-02,Colion Noir,,Creator,,Colion Noir,https://www.youtube.com/@ColionNoir,,TODO: enrich,,,,,,https://www.youtube.com/@ColionNoir,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Optional meet/collab | Research location + contact route
big-beard-battery,2026-02-02,2026-02-02,Big Beard Battery,,Brand/Creator,,Big Beard Battery,https://www.youtube.com/@BigBeardBattery,,TODO: enrich,,,,,,https://www.youtube.com/@BigBeardBattery,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,High,,Research TX location + propose sponsor/partner meeting,,RV power/batteries; potential sponsor/partner | Research TX location + propose sponsor/partner meeting
all-about-rvs,2026-02-02,2026-02-02,All About RV's,,Creator,,All About RV's,https://www.youtube.com/@AllAboutRVs,,TODO: enrich,,,,,,https://www.youtube.com/@AllAboutRVs,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Medium,,Research location + contact route,,RV creator meet/collab | Research location + contact route
techno-tim,2026-02-02,2026-02-02,Techno Tim,,Creator,,Techno Tim,https://www.youtube.com/@TechnoTim,,TODO: enrich,,,,,,https://www.youtube.com/@TechnoTim,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Tech/tools tie-in | Research location + contact route
snake-discovery,2026-02-02,2026-02-02,Snake Discovery,,Creator/Business,,Snake Discovery,https://www.youtube.com/@SnakeDiscovery,,TODO: enrich,,,,,,https://www.youtube.com/@SnakeDiscovery,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,High,,Coordinate timing + visit plan,,"Must-hit stop in Delafield, WI | Coordinate timing + visit plan"
airplane-academy,2026-02-02,2026-02-02,Airplane Academy,,Creator,,Airplane Academy,https://www.youtube.com/@AirplaneAcademy,,TODO: enrich,,,,,,https://www.youtube.com/@AirplaneAcademy,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Aviation creator meet/collab | Research location + contact route
legasea-reptarium-team,2026-02-02,2026-02-02,LegaSea/The Reptarium (Lori Barczyk + team),,Business,,LegaSea/The Reptarium (Lori Barczyk + team),https://www.youtube.com/@BrianBarczyk,,TODO: enrich,,,,,,https://www.youtube.com/@BrianBarczyk,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,High,,Coordinate timing + best contact route,,"Must-hit stop in Utica, MI; Brian Barczyk legacy | Coordinate timing + best contact route"
exo-contralto,2026-02-02,2026-02-02,EXOcontralto,,Creator,,EXOcontralto,https://www.youtube.com/@EXOcontralto,,TODO: enrich,,,,,,https://www.youtube.com/@EXOcontralto,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Car audio creator meet/collab | Research location + contact route
questionable-garage,2026-02-02,2026-02-02,The Questionable Garage,,Creator,,The Questionable Garage,https://www.youtube.com/@TheQuestionableGarage,,TODO: enrich,,,,,,https://www.youtube.com/@TheQuestionableGarage,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Garage/tools creator meet/collab | Research location + contact route
digital-spaceport,2026-02-02,2026-02-02,Digital Spaceport,,Creator,,Digital Spaceport,https://www.youtube.com/@DigitalSpaceport,,TODO: enrich,,,,,,https://www.youtube.com/@DigitalSpaceport,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Local AI/home server tie-in | Research location + contact route
jeff-geerling,2026-02-02,2026-02-02,Jeff Geerling,,Creator,,Jeff Geerling,https://www.youtube.com/@JeffGeerling,,TODO: enrich,,,,,,https://www.youtube.com/@JeffGeerling,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Tech/tools maker tie-in | Research location + contact route
shayne-smith,2026-02-02,2026-02-02,Shayne Smith,,Creator/Comedy,,Shayne Smith,https://www.youtube.com/@shaynesmithcomedy,,TODO: enrich,,,,,,https://www.youtube.com/@shaynesmithcomedy,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research tour schedule + contact route,,Comedy tie-in; meet if route aligns | Research tour schedule + contact route
mark-rober,2026-02-02,2026-02-02,Mark Rober,,Creator,,Mark Rober,https://www.youtube.com/@MarkRober,,TODO: enrich,,,,,,https://www.youtube.com/@MarkRober,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research tour/events + contact route,,Maker/engineering inspiration; opportunistic meet if events align | Research tour/events + contact route
bamabass,2026-02-02,2026-02-02,BamaBass,,Creator,,BamaBass,https://www.youtube.com/@BamaBass,,TODO: enrich,,,,,,https://www.youtube.com/@BamaBass,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Fish/outdoors tie-in; meet if route aligns | Research location + contact route
pivotal,2026-02-02,2026-02-02,Pivotal,,Brand,,Pivotal,https://www.youtube.com/@pivotalaero,,TODO: enrich,,,,,,https://www.youtube.com/@pivotalaero,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + events + contact route,,eVTOL/tech tie-in; meet if route aligns | Research location + events + contact route
crunchlabs,2026-02-02,2026-02-02,CrunchLabs,,Brand/Creator,,CrunchLabs,https://www.youtube.com/@CrunchLabs,,TODO: enrich,,,,,,https://www.youtube.com/@CrunchLabs,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research HQ/location + contact route,,Maker/engineering tie-in | Research HQ/location + contact route
joe-rogan,2026-02-03,2026-02-03,Joe Rogan,,Comedy,,Joe Rogan,https://www.youtube.com/channel/UCzQUP1qoWDoEbmsQxvdjxgQ,,TODO: enrich,,,,,,https://www.youtube.com/channel/UCzQUP1qoWDoEbmsQxvdjxgQ,http://instagram.com/joerogan,,https://www.facebook.com/JOEROGAN/,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
theo-von,2026-02-03,2026-02-03,Theo Von,,Comedy,,Theo Von,https://www.youtube.com/c/theovon/videos,,TODO: enrich,,,,,,https://www.youtube.com/c/theovon/videos,https://www.instagram.com/theovon/,,https://www.facebook.com/theo.von/,https://twitter.com/theovon,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
andrew-schulz,2026-02-03,2026-02-03,Andrew Schulz,,Comedy,,Andrew Schulz,https://www.youtube.com/@theandrewschulz,,TODO: enrich,,,,,,https://www.youtube.com/@theandrewschulz,https://www.instagram.com/andrewschulz/,https://www.tiktok.com/@theandrewschulz,,https://twitter.com/andrewschulz,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
tom-segura,2026-02-03,2026-02-03,Tom Segura,,Comedy,,Tom Segura,https://www.youtube.com/user/tomsegura,,TODO: enrich,,,,,,https://www.youtube.com/user/tomsegura,https://www.instagram.com/seguratom/,,,https://twitter.com/tomsegura,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
shane-gillis,2026-02-03,2026-02-03,Shane Gillis,,Comedy,,Shane Gillis,https://www.youtube.com/@GillyandKeeves,,TODO: enrich,,,,,,https://www.youtube.com/@GillyandKeeves,https://www.instagram.com/shanemgillis/,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
tim-dillon,2026-02-03,2026-02-03,Tim Dillon,,Comedy,,Tim Dillon,https://www.youtube.com/channel/UC4woSp8ITBoYDmjkukhEhxg,,TODO: enrich,,,,,,https://www.youtube.com/channel/UC4woSp8ITBoYDmjkukhEhxg,https://www.instagram.com/timjdillon/?hl=en,,https://www.facebook.com/timdillonshow/,https://twitter.com/TimJDillon,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
bert-kreischer,2026-02-03,2026-02-03,Bert Kreischer,,Comedy,,Bert Kreischer,https://www.youtube.com/channel/UCz_sgiKcwX6V52KPn_B6PxQ,,TODO: enrich,,,,,,https://www.youtube.com/channel/UCz_sgiKcwX6V52KPn_B6PxQ,http://instagram.com/bertkreischer,https://www.tiktok.com/@bertkreischer,http://facebook.com/BertKreischer/,https://twitter.com/bertkreischer/,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
sam-morril,2026-02-03,2026-02-03,Sam Morril,,Comedy,,Sam Morril,https://www.youtube.com/user/smorril/videos,,TODO: enrich,,,,,,https://www.youtube.com/user/smorril/videos,https://www.instagram.com/sammorril/,,https://www.facebook.com/Sam-Morril-238894056171263,https://twitter.com/sammorril,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
ari-shaffir,2026-02-03,2026-02-03,Ari Shaffir,,Comedy,,Ari Shaffir,https://www.youtube.com/c/arishaffir,,TODO: enrich,,,,,,https://www.youtube.com/c/arishaffir,https://www.instagram.com/arishaffir,,https://www.facebook.com/arishaffirstandup,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
big-jay-oakerson,2026-02-03,2026-02-03,Big Jay Oakerson,,Comedy,,Big Jay Oakerson,https://www.youtube.com/@bigjayoakerson,,TODO: enrich,,,,,,https://www.youtube.com/@bigjayoakerson,https://www.instagram.com/bigjayoakerson/,https://www.tiktok.com/@bigjayoakerson?lang=en,http://www.facebook.com/771751649256,https://twitter.com/bigjayoakerson?lang=en,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
ryan-long,2026-02-03,2026-02-03,Ryan Long,,Comedy,,Ryan Long,http://youtube.com/ryanlongcomedy,,TODO: enrich,,,,,,http://youtube.com/ryanlongcomedy,https://www.instagram.com/ryanlongcomedy/,https://www.tiktok.com/@ryanlongcomedy,http://facebook.com/ryanlongcomedy,http://twitter.com/ryanlongcomedy,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
jp-sears,2026-02-03,2026-02-03,JP Sears,,Comedy,,JP Sears,https://www.youtube.com/@AwakenWithJP,,TODO: enrich,,,,,,https://www.youtube.com/@AwakenWithJP,https://www.instagram.com/awakenwithjp/,https://www.tiktok.com/@awakenwithjp,https://www.facebook.com/awakenwithjp,https://twitter.com/awakenwithjp,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
tyler-fischer,2026-02-03,2026-02-03,Tyler Fischer,,Comedy,,Tyler Fischer,https://www.youtube.com/@tythefisch,,TODO: enrich,,,,,,https://www.youtube.com/@tythefisch,https://www.instagram.com/tythefisch/,https://www.tiktok.com/@tythefisch,https://www.facebook.com/TyTheFisch/,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
the-joe-rogan-experience,2026-02-03,2026-02-03,The Joe Rogan Experience,,Podcast,,The Joe Rogan Experience,https://www.youtube.com/channel/UCzQUP1qoWDoEbmsQxvdjxgQ,,TODO: enrich,,,,,,https://www.youtube.com/channel/UCzQUP1qoWDoEbmsQxvdjxgQ,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
this-past-weekend,2026-02-03,2026-02-03,This Past Weekend,,Podcast,,This Past Weekend,https://www.youtube.com/c/theovon/videos,,TODO: enrich,,,,,,https://www.youtube.com/c/theovon/videos,https://www.instagram.com/theovon/,,https://www.facebook.com/theo.von/,https://twitter.com/theovon,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
flagrant,2026-02-03,2026-02-03,Flagrant,,Podcast,,Flagrant,https://www.youtube.com/@OfficialFlagrant,,TODO: enrich,,,,,,https://www.youtube.com/@OfficialFlagrant,https://www.instagram.com/officialflagrant/,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
your-mom-s-house,2026-02-03,2026-02-03,Your Mom’s House,,Podcast,,Your Mom’s House,https://www.youtube.com/user/YourMomsHousePodcast,,TODO: enrich,,,,,,https://www.youtube.com/user/YourMomsHousePodcast,https://www.instagram.com/ymhstudios/,https://www.tiktok.com/@ymhstudios,https://www.facebook.com/YMHstudios/,https://twitter.com/YMHstudios,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
matt-and-shane-s-secret-podcast,2026-02-03,2026-02-03,Matt and Shane’s Secret Podcast,,Podcast,,Matt and Shane’s Secret Podcast,https://www.youtube.com/channel/UC4fZeoNxAXfbIpT3swsVh9w,,TODO: enrich,,,,,,https://www.youtube.com/channel/UC4fZeoNxAXfbIpT3swsVh9w,,,,https://twitter.com/mssecretpod,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
tim-dillon-show,2026-02-03,2026-02-03,Tim Dillon Show,,Podcast,,Tim Dillon Show,https://www.youtube.com/channel/UC4woSp8ITBoYDmjkukhEhxg,,TODO: enrich,,,,,,https://www.youtube.com/channel/UC4woSp8ITBoYDmjkukhEhxg,https://www.instagram.com/timjdillon/?hl=en,,https://www.facebook.com/timdillonshow/,https://twitter.com/TimJDillon,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Enrich: subs + last upload + best contact route,,Route candidate / collab or dinner
